HomeTeam,AwayTeam,HomeGoals,AwayGoals,Country,League,Season,Date
Lyon,Metz,0,1,France,Ligue 1,2020-21,2021-01-17
Marseille,Lens,0,1,France,Ligue 1,2020-21,2021-01-20
Paris Saint Germain,Montpellier,4,0,France,Ligue 1,2020-21,2021-01-22
Lens,Nice,0,1,France,Ligue 1,2020-21,2021-01-23
Monaco,Marseille,3,1,France,Ligue 1,2020-21,2021-01-23
Bordeaux,Angers,2,1,France,Ligue 1,2020-21,2021-01-24
Reims,Brest,1,0,France,Ligue 1,2020-21,2021-01-24
Metz,Nantes,2,0,France,Ligue 1,2020-21,2021-01-24
Dijon,Strasbourg,1,1,France,Ligue 1,2020-21,2021-01-24
Rennes,Lille,0,1,France,Ligue 1,2020-21,2021-01-24
Saint-Etienne,Lyon,0,5,France,Ligue 1,2020-21,2021-01-24
Lorient,Dijon,3,2,France,Ligue 1,2020-21,2021-01-27
Lyon,Bordeaux,2,1,France,Ligue 1,2020-21,2021-01-29
Montpellier,Lens,1,2,France,Ligue 1,2020-21,2021-01-30
Nice,Saint-Etienne,0,1,France,Ligue 1,2020-21,2021-01-31
Strasbourg,Reims,0,1,France,Ligue 1,2020-21,2021-01-31
Brest,Metz,2,4,France,Ligue 1,2020-21,2021-01-31
Angers,Nimes,3,1,France,Ligue 1,2020-21,2021-01-31
Lorient,Paris Saint Germain,3,2,France,Ligue 1,2020-21,2021-01-31
Lille,Dijon,1,0,France,Ligue 1,2020-21,2021-01-31
Nantes,Monaco,1,2,France,Ligue 1,2020-21,2021-01-31
Bordeaux,Lille,0,3,France,Ligue 1,2020-21,2021-02-03
Metz,Montpellier,1,1,France,Ligue 1,2020-21,2021-02-03
Reims,Angers,0,0,France,Ligue 1,2020-21,2021-02-03
Rennes,Lorient,1,1,France,Ligue 1,2020-21,2021-02-03
Strasbourg,Brest,2,2,France,Ligue 1,2020-21,2021-02-03
Dijon,Lyon,0,1,France,Ligue 1,2020-21,2021-02-03
Lens,Marseille,2,2,France,Ligue 1,2020-21,2021-02-03
Monaco,Nice,2,1,France,Ligue 1,2020-21,2021-02-03
Paris Saint Germain,Nimes,3,0,France,Ligue 1,2020-21,2021-02-03
Saint-Etienne,Nantes,1,1,France,Ligue 1,2020-21,2021-02-03
Lorient,Reims,1,0,France,Ligue 1,2020-21,2021-02-06
Lyon,Strasbourg,3,0,France,Ligue 1,2020-21,2021-02-06
Lens,Rennes,0,0,France,Ligue 1,2020-21,2021-02-06
Brest,Bordeaux,2,1,France,Ligue 1,2020-21,2021-02-07
Nimes,Monaco,3,4,France,Ligue 1,2020-21,2021-02-07
Saint-Etienne,Metz,1,0,France,Ligue 1,2020-21,2021-02-07
Montpellier,Dijon,4,2,France,Ligue 1,2020-21,2021-02-07
Nice,Angers,3,0,France,Ligue 1,2020-21,2021-02-07
Nantes,Lille,0,2,France,Ligue 1,2020-21,2021-02-07
Marseille,Paris Saint Germain,0,2,France,Ligue 1,2020-21,2021-02-07
Paris Saint Germain,Nice,2,1,France,Ligue 1,2020-21,2021-02-13
Reims,Lens,1,1,France,Ligue 1,2020-21,2021-02-13
Lyon,Montpellier,1,2,France,Ligue 1,2020-21,2021-02-13
Monaco,Lorient,2,2,France,Ligue 1,2020-21,2021-02-14
Rennes,Saint-Etienne,0,2,France,Ligue 1,2020-21,2021-02-14
Metz,Strasbourg,1,2,France,Ligue 1,2020-21,2021-02-14
Angers,Nantes,1,3,France,Ligue 1,2020-21,2021-02-14
Dijon,Nimes,0,2,France,Ligue 1,2020-21,2021-02-14
Lille,Brest,0,0,France,Ligue 1,2020-21,2021-02-14
Bordeaux,Marseille,0,0,France,Ligue 1,2020-21,2021-02-14
Marseille,Nice,3,2,France,Ligue 1,2020-21,2021-02-17
Brest,Lyon,2,3,France,Ligue 1,2020-21,2021-02-19
Saint-Etienne,Reims,1,1,France,Ligue 1,2020-21,2021-02-20
Nantes,Marseille,1,1,France,Ligue 1,2020-21,2021-02-20
Montpellier,Rennes,2,1,France,Ligue 1,2020-21,2021-02-21
Lens,Dijon,2,1,France,Ligue 1,2020-21,2021-02-21
Nice,Metz,1,2,France,Ligue 1,2020-21,2021-02-21
Nimes,Bordeaux,2,0,France,Ligue 1,2020-21,2021-02-21
Strasbourg,Angers,0,0,France,Ligue 1,2020-21,2021-02-21
Lorient,Lille,1,4,France,Ligue 1,2020-21,2021-02-21
Paris Saint Germain,Monaco,0,2,France,Ligue 1,2020-21,2021-02-21
Nimes,Lorient,1,0,France,Ligue 1,2020-21,2021-02-24
Rennes,Nice,1,2,France,Ligue 1,2020-21,2021-02-26
Bordeaux,Metz,1,2,France,Ligue 1,2020-21,2021-02-27
Dijon,Paris Saint Germain,0,4,France,Ligue 1,2020-21,2021-02-27
Monaco,Brest,2,0,France,Ligue 1,2020-21,2021-02-28
Angers,Lens,2,2,France,Ligue 1,2020-21,2021-02-28
Lorient,Saint-Etienne,2,1,France,Ligue 1,2020-21,2021-02-28
Nimes,Nantes,1,1,France,Ligue 1,2020-21,2021-02-28
Reims,Montpellier,0,0,France,Ligue 1,2020-21,2021-02-28
Lille,Strasbourg,1,1,France,Ligue 1,2020-21,2021-02-28
Marseille,Lyon,1,1,France,Ligue 1,2020-21,2021-02-28
Saint-Etienne,Lens,2,3,France,Ligue 1,2020-21,2021-03-03
Metz,Angers,0,1,France,Ligue 1,2020-21,2021-03-03
Nice,Nimes,2,1,France,Ligue 1,2020-21,2021-03-03
Brest,Dijon,3,1,France,Ligue 1,2020-21,2021-03-03
Lyon,Rennes,1,0,France,Ligue 1,2020-21,2021-03-03
Bordeaux,Paris Saint Germain,0,1,France,Ligue 1,2020-21,2021-03-03
Lille,Marseille,2,0,France,Ligue 1,2020-21,2021-03-03
Montpellier,Lorient,1,1,France,Ligue 1,2020-21,2021-03-03
Nantes,Reims,1,2,France,Ligue 1,2020-21,2021-03-03
Strasbourg,Monaco,1,0,France,Ligue 1,2020-21,2021-03-03
Marseille,Rennes,1,0,France,Ligue 1,2020-21,2021-03-10
Reims,Lyon,1,1,France,Ligue 1,2020-21,2021-03-12
Angers,Saint-Etienne,0,1,France,Ligue 1,2020-21,2021-03-13
Marseille,Brest,3,1,France,Ligue 1,2020-21,2021-03-13
Nimes,Montpellier,1,1,France,Ligue 1,2020-21,2021-03-14
Dijon,Bordeaux,1,3,France,Ligue 1,2020-21,2021-03-14
Lens,Metz,2,2,France,Ligue 1,2020-21,2021-03-14
Lorient,Nice,1,1,France,Ligue 1,2020-21,2021-03-14
Rennes,Strasbourg,1,0,France,Ligue 1,2020-21,2021-03-14
Monaco,Lille,0,0,France,Ligue 1,2020-21,2021-03-14
Paris Saint Germain,Nantes,1,2,France,Ligue 1,2020-21,2021-03-14
Saint-Etienne,Monaco,0,4,France,Ligue 1,2020-21,2021-03-19
Metz,Rennes,1,3,France,Ligue 1,2020-21,2021-03-20
Nice,Marseille,3,0,France,Ligue 1,2020-21,2021-03-20
Strasbourg,Lens,1,2,France,Ligue 1,2020-21,2021-03-21
Nantes,Lorient,1,1,France,Ligue 1,2020-21,2021-03-21
Montpellier,Bordeaux,3,1,France,Ligue 1,2020-21,2021-03-21
Dijon,Reims,0,1,France,Ligue 1,2020-21,2021-03-21
Brest,Angers,0,0,France,Ligue 1,2020-21,2021-03-21
Lille,Nimes,1,2,France,Ligue 1,2020-21,2021-03-21
Lyon,Paris Saint Germain,2,4,France,Ligue 1,2020-21,2021-03-21
Monaco,Metz,4,0,France,Ligue 1,2020-21,2021-04-03
Paris Saint Germain,Lille,0,1,France,Ligue 1,2020-21,2021-04-03
Lens,Lyon,1,1,France,Ligue 1,2020-21,2021-04-03
Angers,Montpellier,1,1,France,Ligue 1,2020-21,2021-04-04
Reims,Rennes,2,2,France,Ligue 1,2020-21,2021-04-04
Bordeaux,Strasbourg,2,3,France,Ligue 1,2020-21,2021-04-04
Lorient,Brest,1,0,France,Ligue 1,2020-21,2021-04-04
Nantes,Nice,1,2,France,Ligue 1,2020-21,2021-04-04
Nimes,Saint-Etienne,0,2,France,Ligue 1,2020-21,2021-04-04
Marseille,Dijon,2,0,France,Ligue 1,2020-21,2021-04-04
Metz,Lille,0,2,France,Ligue 1,2020-21,2021-04-09
Strasbourg,Paris Saint Germain,1,4,France,Ligue 1,2020-21,2021-04-10
Montpellier,Marseille,3,3,France,Ligue 1,2020-21,2021-04-10
